id;app_code;config_key;config_value;created_at;updated_at
1;hovel;solidly ew;because;2025-09-11T16:59:14;2025-09-11T10:43:48
2;disconnection geez until;who enthusiastically outfit;as aw instantly;2025-09-11T11:46:25;2025-09-11T11:18:18
3;huge;phooey;lest honestly;2025-09-11T12:17:45;2025-09-11T15:42:23
4;that quart rowdy;mysteriously fooey until;pecan sorrowful lest;2025-09-11T08:10:06;2025-09-11T15:01:39
5;inquisitively tame;same likely;so so tenant;2025-09-11T22:34:44;2025-09-12T00:20:53
6;fraternise;definite obedient relaunch;amidst gee;2025-09-11T07:19:44;2025-09-11T22:14:02
7;wallaby hmph;great furiously tensely;ugh orchid blah;2025-09-11T22:05:21;2025-09-12T00:30:27
8;for lest masticate;during secret;since defiantly failing;2025-09-11T15:03:48;2025-09-11T16:44:46
9;yum;bravely once mockingly;upon;2025-09-11T12:58:05;2025-09-11T22:24:12
10;till terribly joshingly;lovingly an dependable;cruelly whoa loudly;2025-09-11T21:53:09;2025-09-11T14:00:03
