id;entity_name;entity_id;action;old_value;new_value;performed_by;performed_at;ip_address
1;hastily farmer crystallize;while because terrorise;UPDATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;aw numeracy;2025-09-08T09:49:50;nephew yuck till
2;limping;sticker;DELETE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;likewise;2025-09-08T10:08:24;label downshift innovation
3;gee custody lustrous;part ick;UPDATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;while interestingly;2025-09-08T00:11:26;vulgarise
4;innovate given;nor limply fooey;DELETE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;silently;2025-09-08T09:40:24;woot flu reschedule
5;even catalog;vice;LOGOUT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;urgently;2025-09-08T06:52:37;normal near
6;frank gosh inject;blushing jubilantly barring;UPDATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ring absent whoever;2025-09-07T16:15:10;garage evil
7;if sting flimsy;ugh essential;DELETE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;instead after;2025-09-07T16:18:55;quadruple ham glorious
8;whereas destock;breakable;CREATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oh bide;2025-09-08T08:42:43;supposing weighty mom
9;intently;seriously down duh;CREATE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;gah as mortar;2025-09-08T05:35:57;restructure over
10;remark;naturally nerve ouch;DELETE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;metabolite;2025-09-07T23:50:27;of within
