id;customer_id;created_at;updated_at
1;27169;2025-09-11T14:58:05;2025-09-11T20:23:20
2;4220;2025-09-11T14:19:55;2025-09-11T06:42:33
3;16917;2025-09-11T13:36:34;2025-09-12T00:37:58
4;22756;2025-09-12T03:21:47;2025-09-12T00:39:16
5;26233;2025-09-12T00:52:17;2025-09-12T02:19:16
6;24376;2025-09-12T03:26:06;2025-09-11T11:05:54
7;15142;2025-09-11T16:18:15;2025-09-11T07:04:39
8;9289;2025-09-11T20:28:03;2025-09-12T01:49:11
9;284;2025-09-11T12:51:25;2025-09-11T21:14:45
10;16211;2025-09-11T17:20:57;2025-09-11T21:27:36
