id;code;name;material;color;width;length;unit;status;created_at;updated_at
1;incidentally beneath innocent;acidly easily irritably;pendant near minty;azure;17474.36;26341.12;surface;SENT;2025-09-20T01:55:54;2025-09-19T03:18:30
2;aside;prestigious from where;after following;black;5059.45;27043.25;dimly entomb;USED;2025-09-19T03:08:47;2025-09-19T14:23:48
3;although;pixellate;ugh quit;indigo;21764.09;13573.01;to;SENT;2025-09-19T17:18:25;2025-09-19T11:21:57
4;essay gosh unselfish;yippee;anti blindly over;purple;13404.43;2892.15;limply likewise ;USED;2025-09-19T03:44:53;2025-09-19T08:26:21
5;necessary;worth;digitize;violet;16586.57;4905.14;indeed libel;AVAILABLE;2025-09-19T11:11:49;2025-09-19T20:11:12
6;forgo sweet ligate;for amongst;separately hopelessly;violet;2649.87;3471.31;with strictly;SENT;2025-09-19T08:23:20;2025-09-19T09:07:53
7;courageously keenly;correctly so;worth;fuchsia;63.08;25422.18;oof huzzah bin;SENT;2025-09-19T16:27:21;2025-09-19T11:20:47
8;um quarrelsomely;squid inject even;physically;black;28141.39;2685.54;after far oxygen;RESERVED;2025-09-19T08:47:02;2025-09-19T06:23:00
9;acidly sociable;growing;labourer conservative amid;red;24002.62;22214.74;whereas complica;RESERVED;2025-09-19T20:05:13;2025-09-19T08:58:27
10;designation curry pfft;since wheel morbidity;cafe beside aboard;azure;12732.41;31410.3;ferociously grat;SENT;2025-09-19T21:56:39;2025-09-19T09:17:10
