id;cloth_id;supplier_id;product_id;action;quantity;unit;sent_at;note;created_at
1;16074;26527;12675;SEND;15635.89;apud;2025-09-19T16:15:57;coin;2025-09-19T23:16:21
2;25574;13475;29881;RETURN;7524.17;hypothesize but;2025-09-19T05:12:19;corrupt er;2025-09-19T03:25:03
3;4893;9816;3395;RETURN;40.38;receptor;2025-09-19T02:54:00;settle;2025-09-19T05:21:33
4;11749;32149;10328;RETURN;11387.71;beautifully fail;2025-09-19T13:32:43;jiggle upon yum;2025-09-19T11:45:34
5;29211;5840;5970;SEND;10730.29;portly transplan;2025-09-19T14:23:17;sheepishly eminent;2025-09-19T06:41:30
6;11094;28108;29138;CANCEL;10862.27;heartache boohoo;2025-09-20T01:29:05;revere;2025-09-19T10:24:06
7;4569;15341;8134;CANCEL;21917.02;duh;2025-09-19T22:14:44;with pish packaging;2025-09-19T09:58:23
8;23929;8269;30068;SEND;15156.72;angrily bleach w;2025-09-20T01:41:11;yawn that astride;2025-09-20T00:01:53
9;10153;192;25554;CANCEL;14293.63;reflecting;2025-09-20T01:47:18;zowie sweetly;2025-09-19T16:38:42
10;25341;13636;10535;SEND;26738.76;bashfully allega;2025-09-19T22:59:45;during till cone;2025-09-19T19:27:22
