id;cloth_id;product_id;quantity;unit;note;created_at
1;20641;27274;6305.26;nauseate glass;bleach;2025-09-19T12:00:31
2;15788;24523;2770.47;around;schedule excepting density;2025-09-19T04:10:24
3;23346;12812;25022.54;plus;out;2025-09-19T17:18:46
4;9632;15648;21100.04;stuff;scorpion dock farmer;2025-09-19T08:44:02
5;10714;21580;10078.75;brief hence arch;underplay until;2025-09-19T11:40:20
6;19041;21991;24578.51;heroine;pitiful upon;2025-09-19T20:50:32
7;11992;8090;19852.12;hence vary;folklore when;2025-09-19T22:57:54
8;10616;16701;24575.37;mammoth boo circ;homely monthly;2025-09-19T05:09:36
9;18970;26812;31245.06;always er;waver fluffy;2025-09-19T22:54:01
10;19703;30296;9025.09;phew;if or inside;2025-09-19T10:13:24
