id;cloth_id;warehouse_id;delta;reason;ref_order_id;created_at
1;5616;5568;26933;SALE;3231;2025-09-20T00:20:45
2;6493;11369;1114;SALE;29369;2025-09-19T06:59:21
3;25772;30146;4141;PURCHASE;5869;2025-09-19T08:29:58
4;952;7462;13302;TRANSFER;27607;2025-09-19T07:51:32
5;20234;12664;157;SALE;18884;2025-09-19T14:42:59
6;23815;2053;312;ADJUSTMENT;11653;2025-09-19T23:26:34
7;19001;19765;1792;SALE;25871;2025-09-20T00:45:35
8;6142;25871;30111;ADJUSTMENT;671;2025-09-20T01:18:00
9;32014;7461;15779;SALE;13605;2025-09-19T04:23:42
10;25672;32277;1010;PURCHASE;17908;2025-09-19T16:38:03
