id;cloth_id;supplier_id;supply_price;currency;lead_time_days;min_order_qty;is_preferred;created_at;updated_at
1;6361;29908;4403.72;for;9250;12311;true;2025-09-19T09:41:02;2025-09-19T19:18:18
2;1417;28054;15058.54;las;6947;504;true;2025-09-19T05:11:43;2025-09-19T23:06:48
3;25737;8770;5930.78;kee;12506;29137;false;2025-09-19T09:21:06;2025-09-20T02:20:21
4;8808;15283;5248.62;dra;938;35;false;2025-09-19T18:41:38;2025-09-19T09:35:00
5;19026;19134;13825.88;sev;20942;24417;true;2025-09-19T18:16:01;2025-09-19T11:32:45
6;2385;13760;17006.6;fam;26368;9394;false;2025-09-19T05:45:44;2025-09-19T23:14:54
7;18564;7472;30221.48;min;23988;9122;true;2025-09-19T04:55:43;2025-09-19T06:14:04
8;17434;32546;15907.69;and;1931;20652;false;2025-09-19T15:59:54;2025-09-19T07:32:44
9;9212;26724;14223.72;nex;21356;10924;false;2025-09-19T16:37:57;2025-09-19T12:10:19
10;7626;7563;28542.51;equ;1548;32390;true;2025-09-19T12:01:33;2025-09-19T15:26:59
