id;company_config_id;config_key;config_value;created_at;updated_at
1;28380;soliloquy;defiantly by and;2025-09-11T12:40:21;2025-09-11T07:28:39
2;21641;devastation;or darling;2025-09-11T17:57:19;2025-09-11T07:15:23
3;3488;especially beneath;overplay;2025-09-11T18:50:12;2025-09-12T02:56:34
4;12278;bolster;consign;2025-09-11T14:35:08;2025-09-12T01:51:37
5;11793;tomb;where times;2025-09-11T18:46:22;2025-09-11T20:42:44
6;10521;woot libel brr;disappointment though joyfully;2025-09-11T05:17:40;2025-09-12T04:07:45
7;5918;quietly;worth;2025-09-11T09:22:44;2025-09-11T23:27:53
8;24775;clone unaccountably fun;tenderly shoulder;2025-09-11T15:14:31;2025-09-12T04:08:00
9;26512;beard far;instead privilege;2025-09-12T03:09:33;2025-09-11T15:11:20
10;19954;jubilantly psst;warmly;2025-09-11T14:08:35;2025-09-11T09:46:52
