id;source_app;target_app;payload;response;status;retries;created_at;updated_at
1;ZALO;SHOPEE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;RETRYING;23940;2025-09-11T20:17:23;2025-09-12T01:23:24
2;TIKTOK;SHOPEE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;RETRYING;19431;2025-09-11T12:12:30;2025-09-11T10:33:04
3;TIKTOK;ZALO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;SUCCESS;71;2025-09-11T12:35:03;2025-09-11T15:37:46
4;SHOPEE;TIKTOK;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FAILED;5312;2025-09-11T17:40:49;2025-09-11T10:25:25
5;TIKTOK;SHOPEE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FAILED;10651;2025-09-12T04:08:25;2025-09-12T02:25:18
6;SHOPEE;ZALO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FAILED;8688;2025-09-12T03:43:55;2025-09-11T21:47:08
7;SHOPEE;SHOPEE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FAILED;5892;2025-09-11T04:52:04;2025-09-11T06:26:46
8;TIKTOK;ZALO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FAILED;30526;2025-09-12T01:14:10;2025-09-11T09:04:07
9;TIKTOK;SHOPEE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;RETRYING;11312;2025-09-11T05:08:27;2025-09-11T13:12:01
10;ZALO;ZALO;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FAILED;25827;2025-09-11T10:53:44;2025-09-11T07:30:17
