id;title;content;published;views;updated_at
1;monster saturate browse;../fake-data/blob/hipster.txt;true;21311;2025-09-07T19:13:49
2;indelible represent;../fake-data/blob/hipster.txt;false;14119;2025-09-08T00:31:48
3;scent follower;../fake-data/blob/hipster.txt;true;159;2025-09-08T00:58:10
4;fooey as;../fake-data/blob/hipster.txt;false;13996;2025-09-07T23:39:39
5;wisecrack starch;../fake-data/blob/hipster.txt;true;18745;2025-09-08T02:16:53
6;soon suspiciously chip;../fake-data/blob/hipster.txt;true;28409;2025-09-07T12:50:05
7;spattering quip;../fake-data/blob/hipster.txt;true;4312;2025-09-08T06:40:41
8;ouch lender;../fake-data/blob/hipster.txt;true;29909;2025-09-08T02:52:39
9;frozen;../fake-data/blob/hipster.txt;false;19116;2025-09-08T05:52:52
10;despite;../fake-data/blob/hipster.txt;false;30348;2025-09-08T06:00:54
