id;type;channel;subject;payload;send_status;retry_count;last_tried_at;created_at
1;TICKET_UPDATE;PUSH;whirlwind help;../fake-data/blob/hipster.txt;RETRYING;20362;2025-09-08T00:57:40;2025-09-07T13:05:29
2;TICKET_UPDATE;EMAIL;woot obesity redraw;../fake-data/blob/hipster.txt;PENDING;21476;2025-09-07T21:19:57;2025-09-08T02:37:36
3;SURVEY;WEBHOOK;athwart ravage amid;../fake-data/blob/hipster.txt;RETRYING;15779;2025-09-07T09:08:58;2025-09-07T21:06:18
4;SURVEY;SMS;swanling unrealistic approach;../fake-data/blob/hipster.txt;PENDING;27622;2025-09-07T17:35:23;2025-09-07T15:09:03
5;TICKET_UPDATE;EMAIL;table keenly;../fake-data/blob/hipster.txt;FAILED;15315;2025-09-07T22:14:32;2025-09-07T11:21:06
6;TICKET_UPDATE;EMAIL;toady midst;../fake-data/blob/hipster.txt;RETRYING;30252;2025-09-07T22:44:23;2025-09-08T04:20:55
7;SYSTEM;SMS;whenever concrete mid;../fake-data/blob/hipster.txt;PENDING;14322;2025-09-08T06:15:55;2025-09-08T07:08:59
8;SYSTEM;SMS;meh drab;../fake-data/blob/hipster.txt;RETRYING;24254;2025-09-08T02:07:33;2025-09-07T18:52:31
9;SURVEY;EMAIL;nocturnal;../fake-data/blob/hipster.txt;RETRYING;9485;2025-09-07T12:00:23;2025-09-07T14:03:36
10;SYSTEM;PUSH;because;../fake-data/blob/hipster.txt;SENT;21322;2025-09-07T21:16:51;2025-09-07T10:02:57
