id;order_id;variant_id;quantity;unit_price;total_price;name_snapshot;sku_snapshot
1;27460;27742;25485;4611.73;4294.15;whoever statement;lest wallaby moment
2;28566;4055;14303;983.26;16885.73;scorn huzzah;developmental teeming
3;1509;5370;26264;8257.3;10785.18;sweetly traduce;highly ugh
4;8099;1794;7109;1694.63;19639.52;tromp;pace offset unless
5;23465;22399;18972;14859.04;11091.51;garrote;yippee weatherize traduce
6;9983;30147;6706;4727.06;17146.39;shoot;mystify
7;9679;25342;19524;12171.07;16323.31;lest;membership pish regarding
8;2959;29538;22188;22245.65;23318.74;while;what boring
9;16434;16954;30607;18101.7;20301.21;where rowdy than;intent because traditionalism
10;12333;23651;32443;4778.11;23611.81;on;blah
