id;code;status;payment_status;fulfillment_status;total_amount;currency;note;placed_at;updated_at
1;than rigidly seafood;CANCELED;PAID;FULFILLED;32393.34;eek;huzzah;2025-09-07T21:43:46;2025-09-08T05:15:46
2;ohXXXX;CONFIRMED;UNPAID;FULFILLED;15027.99;til;ouch;2025-09-07T18:46:19;2025-09-08T13:41:27
3;hypothesize if;REFUNDED;REFUNDED;PARTIALLY_FULFILLED;1563.94;unl;silky ack;2025-09-08T04:15:32;2025-09-07T17:50:57
4;helpfully till whereas;CANCELED;REFUNDED;RETURNED;9018.58;fro;phooey wolf;2025-09-07T23:02:24;2025-09-07T19:07:06
5;circumference sock heroine;CONFIRMED;PARTIALLY_REFUNDED;RETURNED;30699.4;fro;yippee apropos;2025-09-08T09:37:39;2025-09-08T02:41:24
6;because legitimize;DRAFT;REFUNDED;PARTIALLY_FULFILLED;9171.94;pis;mould;2025-09-07T18:00:44;2025-09-08T01:07:49
7;pureXX;PENDING;PARTIALLY_REFUNDED;FULFILLED;28983.12;oh ;stitcher gah mystify;2025-09-07T17:53:59;2025-09-07T21:01:33
8;inasmuch yum uh-huh;PENDING;UNPAID;PARTIALLY_FULFILLED;12291.45;pro;seafood coolly corner;2025-09-07T23:46:28;2025-09-08T00:43:17
9;through hope;DRAFT;UNPAID;RETURNED;18454.44;too;slump;2025-09-08T06:34:05;2025-09-07T20:22:30
10;roundX;COMPLETED;PAID;RETURNED;18628.68;sin;except even if;2025-09-08T07:16:42;2025-09-08T13:00:23
