id;code;name;slug;description;status;created_at;updated_at
1;roundabout eminent eek;swiftly oh;throughout widow;../fake-data/blob/hipster.txt;ARCHIVED;2025-09-07T16:40:54;2025-09-08T08:40:30
2;behold;entry ew;whether;../fake-data/blob/hipster.txt;ARCHIVED;2025-09-08T01:01:51;2025-09-08T01:40:02
3;prestigious than;or;factorize indeed given;../fake-data/blob/hipster.txt;ACTIVE;2025-09-08T09:27:11;2025-09-08T02:31:10
4;sandbar across;joyous;meh conjecture;../fake-data/blob/hipster.txt;INACTIVE;2025-09-08T12:28:09;2025-09-08T01:56:07
5;till;under interviewer;apprehensive ocelot;../fake-data/blob/hipster.txt;INACTIVE;2025-09-08T06:02:13;2025-09-08T02:20:00
6;among validity;when tired while;napkin ack;../fake-data/blob/hipster.txt;ARCHIVED;2025-09-08T07:57:44;2025-09-07T22:12:43
7;atX;actually but barring;made-up sandbar;../fake-data/blob/hipster.txt;ACTIVE;2025-09-08T07:31:55;2025-09-08T08:02:44
8;and;emboss;verify;../fake-data/blob/hipster.txt;ARCHIVED;2025-09-07T23:24:26;2025-09-08T00:21:56
9;contrail tectonics;gosh;uh-huh huzzah incidentally;../fake-data/blob/hipster.txt;INACTIVE;2025-09-08T10:17:22;2025-09-08T10:16:52
10;at mysteriously;anneal consequently ah;spellcheck joshingly;../fake-data/blob/hipster.txt;INACTIVE;2025-09-07T18:17:33;2025-09-08T06:22:50
