id;sku;name;price;compare_at_price;currency;stock_quantity;weight;length;width;height;is_default;created_at;updated_at
1;extremely beyond;footrest;31726.86;6487.51;bel;5538;4000.21;8849.42;2439.92;28610.24;false;2025-09-08T01:24:10;2025-09-08T03:56:54
2;toward;oof;30667.73;8349.21;bri;1934;19973.8;29366.33;30828.4;19361.75;false;2025-09-08T14:31:07;2025-09-08T09:10:08
3;fatal;switch;3210.89;28316.3;reg;29796;14006.73;31235.64;4476.46;21557.05;true;2025-09-08T04:17:47;2025-09-08T09:13:51
4;searchingly unnecessarily;um;14529.55;16175.14;ste;11120;29315.3;3837.33;27866.46;20730.14;false;2025-09-08T04:48:00;2025-09-08T06:28:41
5;haX;aw;23398.1;13403.95;tab;4315;11079.01;15970.03;16576.48;29578.08;false;2025-09-08T04:26:03;2025-09-08T07:09:31
6;reflate recklessly;though superior;32335.55;1451.09;ha ;29645;29143.96;29207.24;4278.94;32357.11;true;2025-09-07T18:09:17;2025-09-07T23:16:25
7;bravely;beneath bind;2846.64;29481.27;ew;20740;6956.51;16428.03;16111.32;15690.96;false;2025-09-08T14:25:33;2025-09-08T11:51:47
8;wherever;hm excluding;32458.24;23808.79;ina;25515;14502.12;4827.8;32590.2;9107.63;true;2025-09-07T21:30:47;2025-09-08T08:19:56
9;scenario nor;strident;16166.84;14930.51;cre;3371;4542.72;23558.52;1819.98;13444.4;false;2025-09-07T19:11:32;2025-09-07T19:28:49
10;foretell incidentally baa;surprisingly abscond;15686.85;9931.47;bog;7115;2022.39;18979.69;9942.84;4381.01;false;2025-09-08T05:45:37;2025-09-07T19:21:14
