id;supply_price;currency;lead_time_days;min_order_qty;is_preferred;created_at;updated_at
1;27745.27;jag;18254;23630;true;2025-09-07T23:13:47;2025-09-08T13:02:28
2;9298.77;bef;1268;6161;false;2025-09-08T11:02:43;2025-09-08T05:48:24
3;19363.1;apr;30722;25103;true;2025-09-07T21:22:38;2025-09-07T20:30:49
4;16350.98;plu;17771;11116;true;2025-09-07T19:38:09;2025-09-07T19:32:49
5;22383.46;cut;4454;9228;true;2025-09-08T12:31:55;2025-09-08T06:07:17
6;13446.05;coe;8247;2376;false;2025-09-08T13:42:17;2025-09-07T21:54:46
7;15457.18;tha;21390;16445;false;2025-09-08T08:19:15;2025-09-08T07:13:37
8;12368.12;qui;28426;29269;true;2025-09-07T21:21:14;2025-09-08T11:55:29
9;2897.57;cra;8370;32235;true;2025-09-08T08:37:22;2025-09-07T16:53:47
10;30049.16;um ;24544;11896;false;2025-09-07T23:50:42;2025-09-08T04:34:12
