id;survey_type;title;sent_at;due_at;is_active
1;CSAT;though accidentally clear-cut;2025-09-07T15:10:47;2025-09-07T19:31:32;true
2;NPS;nimble to upbeat;2025-09-08T01:30:48;2025-09-08T01:31:27;true
3;NPS;upX;2025-09-07T19:37:22;2025-09-07T10:30:36;false
4;CSAT;throughout yuck fooey;2025-09-07T20:58:46;2025-09-07T20:34:48;true
5;CSAT;murky incidentally;2025-09-08T07:33:12;2025-09-07T11:38:13;true
6;NPS;accredit failing tune;2025-09-07T21:39:52;2025-09-07T20:33:44;true
7;NPS;unto;2025-09-08T01:32:33;2025-09-07T22:47:31;true
8;NPS;who;2025-09-07T21:34:46;2025-09-07T20:00:17;true
9;CSAT;um almost amused;2025-09-07T09:26:38;2025-09-07T22:45:12;false
10;NPS;times bathrobe upright;2025-09-08T00:28:12;2025-09-08T02:37:39;false
