id;survey_id;customer_id;ticket_id;responded_at;score;comment
1;4809;23595;8225;2025-09-08T04:30:13;24555;../fake-data/blob/hipster.txt
2;9475;29425;28273;2025-09-07T17:00:41;14507;../fake-data/blob/hipster.txt
3;318;5821;1748;2025-09-07T15:25:13;6963;../fake-data/blob/hipster.txt
4;12444;3213;22325;2025-09-07T20:27:23;5241;../fake-data/blob/hipster.txt
5;260;26575;28778;2025-09-08T06:12:31;12100;../fake-data/blob/hipster.txt
6;8997;17499;2269;2025-09-08T07:23:52;7747;../fake-data/blob/hipster.txt
7;23910;2640;24152;2025-09-07T21:46:29;32576;../fake-data/blob/hipster.txt
8;19947;22163;12799;2025-09-08T07:03:58;6020;../fake-data/blob/hipster.txt
9;13868;16479;19543;2025-09-07T13:45:00;11758;../fake-data/blob/hipster.txt
10;25990;30062;32111;2025-09-07T23:23:44;27863;../fake-data/blob/hipster.txt
