id;customer_id;sla_plan_id;order_id;assignee_employee_id;code;subject;description;status;priority;channel;opened_at;first_response_at;resolved_at;sla_due_at
1;3196;18017;27586;7781;readily;off;../fake-data/blob/hipster.txt;WAITING_CUSTOMER;URGENT;EMAIL;2025-09-07T18:39:26;2025-09-07T18:11:16;2025-09-07T21:18:56;2025-09-07T22:12:24
2;25477;19457;18971;30280;eekXXX;worriedly outrank char;../fake-data/blob/hipster.txt;OPEN;MEDIUM;CALL;2025-09-07T15:14:30;2025-09-07T12:57:24;2025-09-08T03:08:16;2025-09-08T03:06:41
3;12670;4140;24006;10421;ha adaptation;pastel how unabashedly;../fake-data/blob/hipster.txt;RESOLVED;URGENT;WEB;2025-09-07T12:00:31;2025-09-08T08:28:12;2025-09-08T00:31:42;2025-09-07T19:54:31
4;23673;18130;4262;1938;inconsequential valuable fork;instance practical;../fake-data/blob/hipster.txt;IN_PROGRESS;LOW;SOCIAL;2025-09-08T04:36:36;2025-09-08T01:43:54;2025-09-08T07:21:50;2025-09-07T17:10:26
5;27095;26031;9545;29618;joshingly innocently boo;fork ouch;../fake-data/blob/hipster.txt;RESOLVED;HIGH;CALL;2025-09-07T13:19:46;2025-09-08T00:00:24;2025-09-07T15:17:07;2025-09-07T20:57:38
6;27255;17932;31985;28850;rapidly save;um ribbon;../fake-data/blob/hipster.txt;WAITING_CUSTOMER;URGENT;WEB;2025-09-07T17:00:53;2025-09-07T19:16:21;2025-09-07T15:34:29;2025-09-07T10:39:26
7;11900;8807;10092;31873;or wherever;noisily;../fake-data/blob/hipster.txt;WAITING_THIRD_PARTY;LOW;CALL;2025-09-07T21:28:18;2025-09-07T18:56:06;2025-09-07T17:32:14;2025-09-08T07:40:51
8;21649;2096;21814;31263;sternly too amid;offset sprinkles;../fake-data/blob/hipster.txt;WAITING_CUSTOMER;LOW;CALL;2025-09-08T07:43:03;2025-09-07T23:11:52;2025-09-07T11:09:56;2025-09-07T18:17:36
9;24366;32413;31394;17173;meh yet;boldly hunt;../fake-data/blob/hipster.txt;OPEN;MEDIUM;EMAIL;2025-09-07T09:39:12;2025-09-07T20:14:09;2025-09-07T15:03:55;2025-09-07T12:39:16
10;13573;28194;27202;17621;apropos infamous;what although;../fake-data/blob/hipster.txt;WAITING_CUSTOMER;MEDIUM;WEB;2025-09-07T23:12:21;2025-09-07T18:05:04;2025-09-08T08:27:14;2025-09-07T19:13:27
