id;body;visibility;created_at
1;../fake-data/blob/hipster.txt;PUBLIC;2025-09-07T12:19:41
2;../fake-data/blob/hipster.txt;INTERNAL;2025-09-07T14:49:31
3;../fake-data/blob/hipster.txt;PUBLIC;2025-09-07T21:04:49
4;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T06:10:30
5;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T00:52:35
6;../fake-data/blob/hipster.txt;INTERNAL;2025-09-07T16:04:21
7;../fake-data/blob/hipster.txt;PUBLIC;2025-09-08T01:07:17
8;../fake-data/blob/hipster.txt;INTERNAL;2025-09-08T01:07:16
9;../fake-data/blob/hipster.txt;PUBLIC;2025-09-07T22:28:12
10;../fake-data/blob/hipster.txt;PUBLIC;2025-09-07T21:43:26
