id;code;discount_type;discount_value;min_order_value;max_discount_value;usage_limit;used_count;valid_from;valid_to;status;created_at;updated_at
1;following helpfully;FIXED;11637.68;19538.58;19129.82;2439;24786;2025-09-11T17:33:09;2025-09-11T21:21:45;EXPIRED;2025-09-11T16:38:58;2025-09-11T11:57:32
2;mysteriously properly fork;FIXED;26931.64;4873.39;518.39;3770;12422;2025-09-12T00:49:14;2025-09-11T17:22:16;ACTIVE;2025-09-12T03:52:41;2025-09-12T04:16:09
3;geez whether;FIXED;25118.31;26530.86;29657.74;8345;31101;2025-09-11T22:39:11;2025-09-11T22:14:19;ACTIVE;2025-09-11T22:25:49;2025-09-11T23:04:24
4;chubby clearly;PERCENT;11905.17;26341.14;16715.25;19118;1870;2025-09-11T20:58:40;2025-09-11T22:09:49;EXPIRED;2025-09-11T15:29:40;2025-09-11T15:34:09
5;gulp hence;PERCENT;16557.86;31515.92;19092.09;18440;13209;2025-09-11T16:56:50;2025-09-11T13:52:25;ACTIVE;2025-09-11T19:37:04;2025-09-11T06:39:54
6;precedent ownership heavenly;PERCENT;12732.32;27782.27;6679.87;22191;4559;2025-09-11T19:37:05;2025-09-11T12:21:24;EXPIRED;2025-09-11T05:50:07;2025-09-11T19:35:48
7;even sandy whoa;PERCENT;19693.04;29958.44;8328.24;12259;19919;2025-09-12T03:22:54;2025-09-11T19:08:26;DISABLED;2025-09-11T10:13:09;2025-09-11T11:08:16
8;help;PERCENT;20160.1;2472.56;29429.72;9868;13342;2025-09-11T14:32:00;2025-09-11T09:55:11;ACTIVE;2025-09-11T14:45:52;2025-09-12T00:00:23
9;mmm yearn new;FIXED;18755.81;12583.52;6552.94;9800;1661;2025-09-11T09:16:12;2025-09-11T11:07:36;DISABLED;2025-09-11T11:09:55;2025-09-11T15:12:59
10;unlike even while;PERCENT;13764.74;4171.72;28653.5;514;8865;2025-09-12T03:17:48;2025-09-11T04:59:20;ACTIVE;2025-09-11T19:39:12;2025-09-11T09:57:47
