id;name;description;channel;budget;start_date;end_date;is_active;created_at;updated_at
1;rebound;../fake-data/blob/hipster.txt;SMS;19358.79;2025-09-11T17:17:14;2025-09-11T07:51:29;false;2025-09-12T00:02:03;2025-09-11T18:18:20
2;rule past comestible;../fake-data/blob/hipster.txt;WEBHOOK;4975.64;2025-09-11T22:47:39;2025-09-12T00:16:26;true;2025-09-11T19:13:39;2025-09-11T18:47:20
3;duh venom jogging;../fake-data/blob/hipster.txt;EMAIL;9596.77;2025-09-11T04:03:51;2025-09-11T22:09:46;false;2025-09-11T17:26:30;2025-09-11T17:44:47
4;worthwhile anenst equate;../fake-data/blob/hipster.txt;WEBHOOK;21692.35;2025-09-11T04:29:06;2025-09-12T02:35:23;false;2025-09-11T13:04:24;2025-09-11T23:42:38
5;tune;../fake-data/blob/hipster.txt;SMS;26150.25;2025-09-11T10:40:54;2025-09-11T19:02:48;false;2025-09-11T22:14:16;2025-09-11T20:20:52
6;monthly;../fake-data/blob/hipster.txt;SMS;19777.08;2025-09-11T22:41:52;2025-09-11T20:17:29;true;2025-09-11T06:21:51;2025-09-11T14:41:42
7;below overreact buttery;../fake-data/blob/hipster.txt;EMAIL;3790.35;2025-09-12T02:46:26;2025-09-11T05:26:05;true;2025-09-11T04:41:40;2025-09-12T00:27:06
8;sniff zowie rural;../fake-data/blob/hipster.txt;EMAIL;21211.3;2025-09-11T04:18:55;2025-09-12T02:31:30;false;2025-09-11T16:55:32;2025-09-12T00:06:38
9;supposing;../fake-data/blob/hipster.txt;SMS;12078.83;2025-09-12T00:40:39;2025-09-11T21:14:09;true;2025-09-11T18:08:58;2025-09-11T15:28:04
10;bootleg;../fake-data/blob/hipster.txt;PUSH;1894.98;2025-09-11T07:58:53;2025-09-11T13:18:32;false;2025-09-12T00:16:59;2025-09-11T08:29:18
