id;customer_id;created_at;updated_at
1;27169;2025-09-11T14:11:29;2025-09-11T19:36:44
2;4220;2025-09-11T13:33:19;2025-09-11T05:55:57
3;16917;2025-09-11T12:49:58;2025-09-11T23:51:22
4;22756;2025-09-12T02:35:11;2025-09-11T23:52:40
5;26233;2025-09-12T00:05:41;2025-09-12T01:32:40
6;24376;2025-09-12T02:39:30;2025-09-11T10:19:18
7;15142;2025-09-11T15:31:39;2025-09-11T06:18:03
8;9289;2025-09-11T19:41:27;2025-09-12T01:02:35
9;284;2025-09-11T12:04:49;2025-09-11T20:28:09
10;16211;2025-09-11T16:34:21;2025-09-11T20:41:00
