id;ticket_id;author_id;direction;content;sent_at;external_message_id
1;26499;16505;OUTBOUND;../fake-data/blob/hipster.txt;2025-09-07T09:03:19;shadowbox
2;29991;7843;INBOUND;../fake-data/blob/hipster.txt;2025-09-07T11:42:47;peaceful openly
3;6233;3690;OUTBOUND;../fake-data/blob/hipster.txt;2025-09-07T09:48:11;lampoon
4;19763;14901;INBOUND;../fake-data/blob/hipster.txt;2025-09-07T12:30:50;eek shyly
5;4982;25648;INBOUND;../fake-data/blob/hipster.txt;2025-09-08T01:39:11;pace every
6;1088;32231;INBOUND;../fake-data/blob/hipster.txt;2025-09-08T03:30:18;perp justly
7;6398;32409;INBOUND;../fake-data/blob/hipster.txt;2025-09-07T21:50:35;furthermore between
8;25112;16415;OUTBOUND;../fake-data/blob/hipster.txt;2025-09-07T16:05:10;truthfully
9;19515;19060;OUTBOUND;../fake-data/blob/hipster.txt;2025-09-08T01:32:15;apparatus
10;15657;25001;INBOUND;../fake-data/blob/hipster.txt;2025-09-07T11:21:13;garage headline
