id;name;target_url;secret;is_active;subscribed_events
1;failing excluding;without mob;ocelot loaf;false;address limply
2;lest mortally bulky;what from;ha beyond;true;heartfelt
3;ofX;provided outrageous excitedly;follower;true;by hm
4;repossess;famously which obedient;cautiously how;false;alongside
5;knowledgeably justly;so;even lest hoick;true;mmm potentially if
6;information compete;extension hoot woot;trench suburban;true;sympathetically till
7;stark microchip;serene;highly;false;opposite hm oh
8;superior next outdo;vague;shell pick regularly;true;rejigger key
9;till;whirlwind mobilise selfishly;phew what early;true;encouragement
10;lazily unfortunately;burdensome dismal;out;true;reprimand
