id;category_id;title;content;published;views;updated_at
1;25196;sizzling till carnival;../fake-data/blob/hipster.txt;false;14456;2025-09-08T00:01:57
2;12605;fine international;../fake-data/blob/hipster.txt;false;18051;2025-09-07T13:56:29
3;23944;dependency till however;../fake-data/blob/hipster.txt;true;3854;2025-09-07T15:42:15
4;1124;heartache wisecrack starch;../fake-data/blob/hipster.txt;true;18745;2025-09-08T02:16:53
5;31037;whose corral;../fake-data/blob/hipster.txt;true;27921;2025-09-07T21:24:39
6;5068;before;../fake-data/blob/hipster.txt;false;16251;2025-09-07T23:02:31
7;12826;quip conceptualize bend;../fake-data/blob/hipster.txt;true;32545;2025-09-08T06:35:34
8;17099;atopX;../fake-data/blob/hipster.txt;false;24060;2025-09-07T15:54:55
9;17166;but cheerfully;../fake-data/blob/hipster.txt;true;8060;2025-09-07T22:42:26
10;15714;enthusiastically quietly;../fake-data/blob/hipster.txt;false;13801;2025-09-07T17:24:40
