id;ticket_id;customer_id;survey_id;type;channel;subject;payload;send_status;retry_count;last_tried_at;created_at
1;9671;19814;13153;SURVEY;WEBHOOK;mortally repentant within;../fake-data/blob/hipster.txt;FAILED;17151;2025-09-07T17:19:57;2025-09-07T18:48:07
2;23938;17137;1403;SYSTEM;PUSH;sans vice;../fake-data/blob/hipster.txt;RETRYING;18192;2025-09-08T01:50:16;2025-09-07T23:55:05
3;2393;26848;28636;TICKET_UPDATE;PUSH;functional now backburn;../fake-data/blob/hipster.txt;FAILED;4924;2025-09-07T10:14:34;2025-09-07T22:03:44
4;28755;16729;32732;SURVEY;SMS;mature approximate jealously;../fake-data/blob/hipster.txt;RETRYING;29559;2025-09-07T15:33:16;2025-09-08T00:50:37
5;29891;22168;3627;TICKET_UPDATE;SMS;broadly dirty;../fake-data/blob/hipster.txt;PENDING;12711;2025-09-07T20:58:37;2025-09-08T05:08:50
6;32650;18597;26281;SYSTEM;PUSH;to airmail bah;../fake-data/blob/hipster.txt;FAILED;30636;2025-09-07T21:58:19;2025-09-07T13:53:45
7;14322;29521;30728;SYSTEM;SMS;meh drab;../fake-data/blob/hipster.txt;RETRYING;24254;2025-09-08T02:07:33;2025-09-07T18:52:31
8;21012;1352;5852;SURVEY;PUSH;crossly whistle;../fake-data/blob/hipster.txt;SENT;12504;2025-09-07T16:58:19;2025-09-07T10:54:34
9;9492;21322;17254;TICKET_UPDATE;PUSH;moist phooey;../fake-data/blob/hipster.txt;PENDING;7847;2025-09-08T04:36:57;2025-09-08T06:14:02
10;29260;12041;13103;SURVEY;EMAIL;and;../fake-data/blob/hipster.txt;SENT;15154;2025-09-08T06:40:57;2025-09-08T00:20:42
