id;customer_id;code;status;payment_status;fulfillment_status;total_amount;currency;note;placed_at;updated_at
1;31459;yuppify how;CONFIRMED;REFUNDED;FULFILLED;10632.29;kno;brandish;2025-09-08T06:38:28;2025-09-07T16:58:40
2;13643;pastXX;COMPLETED;PAID;RETURNED;5733.49;cap;rigidly ick while;2025-09-07T18:22:17;2025-09-08T08:58:52
3;13824;short-term raw;COMPLETED;REFUNDED;FULFILLED;31756.95;ben;helpfully till whereas;2025-09-08T06:22:33;2025-09-08T13:53:07
4;26496;scented;PENDING;PAID;RETURNED;7196.55;aff;for;2025-09-08T00:47:59;2025-09-07T16:30:20
5;16653;fence like;PENDING;PAID;PARTIALLY_FULFILLED;20292.12;lyr;noxious mmm volunteer;2025-09-08T01:31:26;2025-09-07T22:46:13
6;19395;exhausted;REFUNDED;PAID;FULFILLED;12557.43;app;overfeed;2025-09-08T13:16:50;2025-09-08T02:51:34
7;23931;mortally;COMPLETED;REFUNDED;RETURNED;22474.44;kis;gah mystify video;2025-09-07T17:56:06;2025-09-08T07:47:51
8;10467;ontoXX;PENDING;UNPAID;FULFILLED;18663.06;so ;married plus;2025-09-07T23:04:35;2025-09-08T08:02:00
9;20473;unless;PENDING;UNPAID;RETURNED;11595.6;hop;playfully corner;2025-09-07T20:34:21;2025-09-08T13:43:25
10;25886;verbally;CANCELED;UNPAID;FULFILLED;1685.61;fer;thump adumbrate atop;2025-09-08T12:51:46;2025-09-08T14:08:07
