id;product_variant_id;warehouse_id;delta;reason;ref_order_id;created_at
1;13855;16651;607;RETURN;32083;2025-09-11T19:48:58
2;22968;30772;28689;TRANSFER;14118;2025-09-11T22:27:22
3;13952;16832;203;PURCHASE;20374;2025-09-11T04:53:04
4;29473;9055;25461;TRANSFER;30536;2025-09-11T14:34:45
5;10029;14713;6730;SALE;1589;2025-09-11T13:19:31
6;29637;721;9311;PURCHASE;21385;2025-09-11T23:36:29
7;11722;27015;27314;TRANSFER;22864;2025-09-11T19:26:38
8;17604;32428;30804;RETURN;27260;2025-09-11T11:14:33
9;31101;15921;30588;RETURN;14669;2025-09-12T02:00:56
10;27538;7915;17540;RETURN;6010;2025-09-11T08:30:56
