id;product_id;supplier_id;supply_price;currency;lead_time_days;min_order_qty;is_preferred;created_at;updated_at
1;27746;16552;11943.19;fav;24927;16862;false;2025-09-08T10:19:35;2025-09-08T15:42:33
2;18254;23630;12079.1;tom;17064;13190;true;2025-09-07T17:02:13;2025-09-07T20:37:14
3;32271;25855;18702.57;whe;6548;9847;false;2025-09-07T16:33:26;2025-09-08T11:53:56
4;7607;30113;3171.18;who;13527;25300;true;2025-09-08T10:44:14;2025-09-08T15:57:45
5;7048;17794;16089.55;hou;1012;7414;true;2025-09-08T03:42:38;2025-09-07T19:22:15
6;9227;8380;27884.74;amo;32173;23538;true;2025-09-08T04:06:54;2025-09-07T23:56:46
7;16024;12485;1495.03;wed;15837;30185;false;2025-09-08T11:39:52;2025-09-07T20:26:04
8;18334;20245;26498.05;dam;614;24471;false;2025-09-08T08:05:23;2025-09-08T09:32:35
9;6546;14377;18327.12;for;27056;2898;false;2025-09-08T12:15:50;2025-09-07T16:52:11
10;16099;24624;29839.36;whe;12908;3962;true;2025-09-07T16:30:44;2025-09-08T03:31:43
