id;customer_id;survey_type;title;sent_at;due_at;is_active
1;13319;NPS;after imagineer;2025-09-07T14:24:23;2025-09-08T03:38:45;false
2;17363;NPS;resource;2025-09-08T02:36:56;2025-09-07T21:36:48;false
3;21638;NPS;curry;2025-09-08T06:35:36;2025-09-07T15:49:09;false
4;31875;NPS;thankfully bobble upright;2025-09-07T20:09:36;2025-09-07T21:15:51;false
5;28431;CSAT;ultimately demob;2025-09-07T17:45:45;2025-09-07T20:33:50;true
6;30513;NPS;actually schlep;2025-09-08T07:02:30;2025-09-07T12:32:28;false
7;6091;CSAT;along;2025-09-07T14:03:35;2025-09-07T19:13:06;false
8;8222;CSAT;bah;2025-09-07T13:31:23;2025-09-08T00:30:35;false
9;11246;NPS;farmer;2025-09-07T19:46:14;2025-09-07T13:39:10;false
10;4398;CSAT;omelet steel;2025-09-07T12:05:32;2025-09-07T10:37:01;false
