id;code;discount_type;discount_value;min_order_value;max_discount_value;usage_limit;used_count;valid_from;valid_to;status;created_at;updated_at
1;following helpfully;FIXED;11637.68;19538.58;19129.82;2439;24786;2025-09-11T16:46:33;2025-09-11T20:35:09;EXPIRED;2025-09-11T15:52:22;2025-09-11T11:10:56
2;mysteriously properly fork;FIXED;26931.64;4873.39;518.39;3770;12422;2025-09-12T00:02:38;2025-09-11T16:35:40;ACTIVE;2025-09-12T03:06:05;2025-09-12T03:29:33
3;geez whether;FIXED;25118.31;26530.86;29657.74;8345;31101;2025-09-11T21:52:35;2025-09-11T21:27:43;ACTIVE;2025-09-11T21:39:13;2025-09-11T22:17:48
4;chubby clearly;PERCENT;11905.17;26341.14;16715.25;19118;1870;2025-09-11T20:12:04;2025-09-11T21:23:13;EXPIRED;2025-09-11T14:43:04;2025-09-11T14:47:33
5;gulp hence;PERCENT;16557.86;31515.92;19092.09;18440;13209;2025-09-11T16:10:14;2025-09-11T13:05:49;ACTIVE;2025-09-11T18:50:28;2025-09-11T05:53:18
6;precedent ownership heavenly;PERCENT;12732.32;27782.27;6679.87;22191;4559;2025-09-11T18:50:29;2025-09-11T11:34:48;EXPIRED;2025-09-11T05:03:31;2025-09-11T18:49:12
7;even sandy whoa;PERCENT;19693.04;29958.44;8328.24;12259;19919;2025-09-12T02:36:18;2025-09-11T18:21:50;DISABLED;2025-09-11T09:26:33;2025-09-11T10:21:40
8;help;PERCENT;20160.1;2472.56;29429.72;9868;13342;2025-09-11T13:45:24;2025-09-11T09:08:35;ACTIVE;2025-09-11T13:59:16;2025-09-11T23:13:47
9;mmm yearn new;FIXED;18755.81;12583.52;6552.94;9800;1661;2025-09-11T08:29:36;2025-09-11T10:21:00;DISABLED;2025-09-11T10:23:19;2025-09-11T14:26:23
10;unlike even while;PERCENT;13764.74;4171.72;28653.5;514;8865;2025-09-12T02:31:12;2025-09-11T04:12:44;ACTIVE;2025-09-11T18:52:36;2025-09-11T09:11:11
